Model,MAE,RMSE,R2 Score
Linear Regression,20232.175887935042,51405.09425333483,0.6554926552252471
Decision Tree,26107.75,39609.71332637924,0.7954546720154023
KNN(K=5),25741.62876712329,45634.53647932685,0.7284977374584548
SVR,59541.8141485531,88647.5584122651,-0.024518306026230396
